Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.17,0.09,1.63,0.52,10.53,1.72,54.05,0.34,1.72,8.67,4.81,0.86,44.3,1.46,Ryan Mendes,ryan-mendes,,Fatih Karagümrük
0.17,0.17,1.87,1.02,9.09,2.04,48.0,0.09,1.28,6.55,3.32,0.43,33.33,0.34,Clinton N'Jie,clinton-njie,,Sivasspor
0.17,0.22,1.53,0.51,11.11,0.0,0.0,0.0,1.02,6.79,2.89,3.06,38.04,1.87,Armin Hodžić,armin-hodzic,,Hatayspor
0.17,0.12,1.24,0.34,13.64,0.62,64.71,0.06,0.51,6.84,2.77,3.85,62.57,0.91,Abdülkerim Bardakcı,abdulkerim-bardakci,,Galatasaray
0.17,0.05,0.9,0.23,18.75,2.71,56.47,0.11,0.51,12.78,6.22,1.02,55.9,1.36,Loide Augusto,loide-augusto,,Alanyaspor
0.16,0.13,1.67,0.57,9.76,0.98,57.14,0.08,0.9,6.84,4.56,0.49,42.91,1.34,Florian Loshaj,florian-loshaj,,İstanbulspor
0.16,0.15,1.83,0.65,8.89,1.58,45.88,0.24,1.18,8.12,4.63,0.69,42.67,0.93,Halil Akbunar,halil-akbunar,,Pendikspor
0.15,0.06,0.76,0.31,20.0,0.15,42.86,0.05,0.31,4.33,2.09,2.7,53.41,0.51,Rick Van Drongelen,rick-van-drongelen,,Yılport Samsunspor
0.15,0.19,2.33,0.91,6.52,1.37,55.1,0.15,0.96,6.22,3.09,0.25,40.49,0.96,Can Keleş,can-keles,,Fatih Karagümrük
0.15,0.04,1.05,0.25,14.29,0.55,78.57,0.1,1.56,8.78,4.06,1.0,55.8,1.3,Pedrinho,pedrinho,,MKE Ankaragücü
0.15,0.29,1.64,0.45,9.09,1.94,56.52,0.0,0.6,3.73,4.78,3.88,47.54,2.24,Philippe Keny,philippe-keny,,Başakşehir FK
0.15,0.23,1.77,0.79,8.33,2.21,50.0,0.44,1.57,6.48,3.93,0.64,50.0,0.79,Altin Zeqiri,zeqiri-altin,,Çaykur Rizespor
0.15,0.29,3.24,1.03,4.55,2.21,65.22,0.07,0.59,7.65,6.03,3.01,57.48,1.84,Jackson Muleka,jackson-muleka,,Beşiktaş
0.15,0.11,1.7,0.49,8.57,2.38,58.33,0.24,1.5,9.85,6.11,2.47,52.37,1.55,Barış Alper Yılmaz,baris-alper-yilmaz,Galatasaray,
0.14,0.1,1.16,0.65,12.5,1.3,54.55,0.14,1.37,8.96,2.74,0.22,40.59,0.51,Lazar Marković,lazar-markovic,Gaziantep FK,
0.14,0.18,2.3,1.01,6.25,2.45,62.96,0.0,1.01,10.8,6.34,0.43,57.32,2.45,Pione Sisto,pione-sisto,Alanyaspor,
0.14,0.06,0.79,0.23,17.65,0.0,0.0,0.05,0.23,2.65,2.46,2.46,60.57,0.79,Arda Kızıldağ,arda-kizildag,Gaziantep FK,
0.14,0.15,1.46,0.32,9.38,0.77,50.0,0.27,1.37,10.6,3.59,2.0,46.24,0.68,Ali Karimi,ali-karimi,Kayserispor,
0.13,0.12,1.62,0.34,8.33,1.01,88.24,0.27,1.68,15.01,2.76,0.2,47.31,0.27,Nicolas Janvier,nicolas-janvier,Alanyaspor,
0.13,0.26,1.79,0.33,7.41,1.92,44.62,0.26,1.06,6.49,4.64,1.26,40.64,1.79,Babajide David Akintola,babajide-david-akintola,Çaykur Rizespor,
0.13,0.19,0.99,0.26,13.33,0.4,85.71,0.0,0.2,5.99,3.29,2.96,57.58,0.86,Davinson Sánchez,davinson-sanchez,Galatasaray,
0.13,0.06,1.05,0.13,12.5,1.14,56.52,0.53,1.8,9.65,4.61,0.92,49.03,1.4,Emre Kılınç,emre-kilinc,Yılport Samsunspor,
0.13,0.08,1.7,0.65,7.69,1.44,57.89,0.39,1.57,7.72,4.71,0.52,40.82,1.18,Roman Kvet,roman-kvet,Sivasspor,
